date_collected,specimen_ID,name,sex,age,row,column,position_on_face,estimated_intradermal_length_mm,extradermal_length_mm,estimated_total_length_mm
03/08/2018,991001001625796,Zavijava,Female,Yearling,D,1,D1,5.7,135,140.7
24/09/2018,991001001625796,Zavijava,Female,Yearling,C,1,C1,5.4,77,82.4
04/08/2018,991001001625797,Narvi,Male,Yearling,C,1,C1,5.4,130,135.4
21/09/2018,991001001625797,Narvi,Male,Yearling,E,1,E1,5.5,55.5,61.0
18/06/2019,991001001625797,Narvi,Male,Adult,D,1,D1,5.7,84.5,90.2
02/08/2018,991001001625798,Mirfak,Male,Yearling,F,1,F1,5.5,61,66.5
09/08/2018,991001001625799,Exton,Male,Yearling,D,1,D1,5.7,106,111.7
03/08/2018,991001001625800,Xengara,Female,Adult,C,1,C1,5.4,136,141.4
09/06/2019,991001001625811,Honeydew,Female,Yearling,C,1,C1,5.4,123,128.4
08/06/2019,991001001625812,Guanabana,Female,Yearling,D,1,D1,5.7,121,126.7
09/06/2019,991001001625813,Ilama,Female,Yearling,C,1,C1,5.4,119.5,124.9
09/06/2019,991001001625814,Tamarillo,Male,Yearling,E,1,E1,5.5,122,127.5
10/06/2019,991001001625815,Ugni,Male,Yearling,C,1,C1,5.4,132,137.4
08/06/2019,991001001625816,Rambutan,Male,Yearling,C,1,C1,5.4,133,138.4
08/06/2019,991001001625817,Pepino,Male,Yearling,D,1,D1,5.7,139.5,145.2
08/06/2019,991001001625819,Quamash,Male,Yearling,D,1,D1,5.7,129,134.7
26/06/2018,991001001625851,Chand,Male,Yearling,C,1,C1,5.4,149.5,154.9
26/06/2018,991001001625853,Hamill,Female,Yearling,C,1,C1,5.4,115,120.4
27/05/2018,991001001625855,Paixiao,Male,Adult,B,1,B1,4.9,116,120.9
26/06/2018,991001001625856,Usain,Male,Yearling,B,1,B1,4.9,98,102.9
27/05/2018,991001001625857,Taphon,Male,Yearling,D,1,D1,5.7,120.5,126.2
27/05/2018,991001001625858,Dulcimer,Female,Adult,C,1,C1,5.4,114,119.4
07/06/2018,991001001625859,Vaupes,Male,Yearling,D,1,D1,5.7,116,121.7
08/06/2018,991001001625860,Guanabara,Female,Adult,D,1,D1,5.7,136,141.7
19/09/2018,991001001625860,Guanabara,Female,Adult,E,1,E1,5.5,118,123.5
26/06/2018,991001001625862,Weissmuller,Male,Yearling,A,1,A1,3.7,20.5,24.2
24/05/2018,991001001625863,Banjo,Male,Adult,E,1,E1,5.5,88,93.5
26/06/2018,991001001625864,Janic,Female,Yearling,D,1,D1,5.7,87.5,93.2
27/06/2018,991001001625865,Picabo,Female,Yearling,C,1,C1,5.4,112.5,117.9
26/06/2018,991001001625866,Yagudin,Male,Yearling,A,1,A1,3.7,91.5,95.2
27/06/2018,991001001625867,Novikova,Female,Yearling,C,1,C1,5.4,130.5,135.9
26/06/2018,991001001625868,Lipa,Female,Yearling,C,1,C1,5.4,119,124.4
26/06/2018,991001001625869,Aamodt,Male,Yearling,C,1,C1,5.4,147.5,152.9
07/07/2018,991001001625871,Lunetta,Female,Yearling,D,1,D1,5.7,148.5,154.2
07/07/2018,991001001625872,Pecorino,Male,Yearling,D,1,D1,5.7,125,130.7
12/09/2018,991001001625872,Pecorino,Male,Yearling,F,1,F1,5.5,41.5,47.0
07/05/2019,991001001625872,Pecorino,Male,Adult,D,1,D1,5.7,71.5,77.2
07/07/2018,991001001625873,Oazis,Male,Yearling,D,1,D1,5.7,101,106.7
11/09/2018,991001001625873,Oazis,Male,Yearling,E,1,E1,5.5,63,68.5
06/05/2019,991001001625873,Oazis,Male,Adult,D,1,D1,5.7,44.5,50.2
07/07/2018,991001001625874,Mozzarella,Female,Yearling,E,1,E1,5.5,53.5,59.0
10/09/2018,991001001625874,Mozzarella,Female,Yearling,F,1,F1,5.5,78,83.5
08/06/2019,991001001625874,Mozzarella,Female,Adult,E,1,E1,5.5,58,63.5
30/06/2018,991001001625875,Olvi,Female,Yearling,D,1,D1,5.7,125.5,131.2
30/06/2018,991001001625876,Moretti,Female,Adult,C,1,C1,5.4,151,156.4
08/07/2018,991001001625877,Ormea,Female,Yearling,C,1,C1,5.4,111,116.4
08/07/2018,991001001625878,Nisa,Female,Yearling,C,1,C1,5.4,122.5,127.9
11/09/2018,991001001625878,Nisa,Female,Yearling,F,1,F1,5.5,68,73.5
08/07/2018,991001001625879,Sulguni,Male,Yearling,C,1,C1,5.4,94.5,99.9
02/07/2018,991001001625880,Abita,Female,Adult,E,1,E1,5.5,41,46.5
26/05/2019,991001001625881,Zanthoxylum,Male,Yearling,C,1,C1,5.4,132,137.4
17/05/2019,991001001625882,Meowth,Male,Yearling,C,1,C1,5.4,124,129.4
26/05/2019,991001001625883,Bogart,Male,Adult,E,1,E1,5.5,101.5,107.0
21/05/2019,991001001625884,Mew,Female,Yearling,C,1,C1,5.4,134,139.4
20/05/2019,991001001625885,Numel,Male,Yearling,D,1,D1,5.7,143,148.7
26/05/2019,991001001625886,Astaire,Male,Yearling,D,1,D1,5.7,113.5,119.2
11/05/2019,991001001625887,Ngauruhoe,Male,Yearling,C,1,C1,5.4,137,142.4
16/05/2019,991001001625889,Luxray,Male,Yearling,D,1,D1,5.7,134.5,140.2
09/05/2019,991001001625890,Matterhorn,Male,Yearling,D,1,D1,5.7,126,131.7
13/07/2018,991001001626031,Wensleydale,Female,Yearling,C,1,C1,5.4,143,148.4
09/07/2018,991001001626032,Tilsit,Female,Yearling,D,1,D1,5.7,122,127.7
21/09/2018,991001001626032,Tilsit,Female,Yearling,F,1,F1,5.5,50.5,56.0
09/07/2018,991001001626033,Wagasi,Male,Adult,C,1,C1,5.4,132,137.4
05/10/2018,991001001626033,Wagasi,Male,Adult,B,1,B1,4.9,55,59.9
09/07/2018,991001001626034,Vacherin,Male,Yearling,C,1,C1,5.4,135,140.4
12/09/2018,991001001626034,Vacherin,Male,Yearling,A,1,A1,3.7,78.5,82.2
19/07/2018,991001001626035,Deimos,Male,Yearling,D,1,D1,5.7,130,135.7
25/09/2018,991001001626035,Deimos,Male,Yearling,C,1,C1,5.4,122,127.4
04/02/2019,991001001626035,Deimos,Male,Yearling,E,1,E1,5.5,109,114.5
09/07/2018,991001001626036,Sirene,Female,Yearling,C,1,C1,5.4,117,122.4
08/07/2018,991001001626037,Quagliata,Female,Yearling,C,1,C1,5.4,62,67.4
08/07/2018,991001001626038,Ubriaco,Male,Yearling,C,1,C1,5.4,130.5,135.9
12/09/2018,991001001626038,Ubriaco,Male,Yearling,E,1,E1,5.5,96.5,102.0
10/06/2019,991001001626038,Ubriaco,Male,Adult,D,1,D1,5.7,71,76.7
09/07/2018,991001001626039,Ricotta,Female,Yearling,D,1,D1,5.7,133,138.7
11/09/2018,991001001626039,Ricotta,Female,Yearling,C,1,C1,5.4,122,127.4
07/06/2019,991001001626039,Ricotta,Female,Adult,D,1,D1,5.7,132,137.7
19/07/2018,991001001626040,Eridanus,Male,Yearling,D,1,D1,5.7,126,131.7
21/09/2018,991001001626040,Eridanus,Male,Yearling,E,1,E1,5.5,105.5,111.0
15/06/2019,991001001626040,Eridanus,Male,Adult,E,1,E1,5.5,46,51.5
26/05/2018,991001001626061,Nadaswaram,Male,Yearling,C,1,C1,5.4,139,144.4
26/05/2018,991001001626062,Lambeg,Male,Adult,B,1,B1,4.9,64.5,69.4
26/05/2018,991001001626063,Flugelhorn,Male,Yearling,D,1,D1,5.7,138.5,144.2
26/05/2018,991001001626064,Hocchiku,Male,Adult,C,1,C1,5.4,81.5,86.9
26/05/2018,991001001626065,Jiaohu,Male,Adult,C,1,C1,5.4,36.5,41.9
09/06/2018,991001001626066,Istria,Female,Yearling,B,1,B1,4.9,118,122.9
30/06/2019,991001001626066,Istria,Female,Adult,E,1,E1,5.5,88.5,94.0
08/06/2018,991001001626067,Hauraki,Female,Yearling,C,1,C1,5.4,130,135.4
03/06/2018,991001001626068,Styx,Male,Yearling,D,1,D1,5.7,122.5,128.2
03/06/2018,991001001626069,Zulia,Female,Yearling,D,1,D1,5.7,124,129.7
14/09/2018,991001001626069,Zulia,Female,Yearling,E,1,E1,5.5,143,148.5
26/06/2019,991001001626069,Zulia,Female,Adult,C,1,C1,5.4,118,123.4
04/06/2018,991001001626091,Tiber,Male,Yearling,D,1,D1,5.7,125,130.7
15/09/2018,991001001626091,Tiber,Male,Yearling,D,1,D1,5.7,150.5,156.2
25/06/2019,991001001626091,Tiber,Male,Adult,D,1,D1,5.7,126,131.7
27/05/2018,991001001626093,Rajao,Male,Yearling,C,1,C1,5.4,125,130.4
06/06/2018,991001001626094,Euboea,Female,Yearling,C,1,C1,5.4,127,132.4
04/06/2018,991001001626096,Chesapeake,Female,Yearling,D,1,D1,5.7,118,123.7
15/09/2018,991001001626096,Chesapeake,Female,Yearling,D,1,D1,5.7,124.5,130.2
07/06/2018,991001001626097,Faxa,Female,Yearling,E,1,E1,5.5,116,121.5
19/09/2018,991001001626097,Faxa,Female,Yearling,B,1,B1,4.9,131,135.9
01/07/2019,991001001626097,Faxa,Female,Adult,D,1,D1,5.7,138.5,144.2
06/06/2018,991001001626098,Uruguay,Male,Yearling,C,1,C1,5.4,110,115.4
16/05/2019,991001001626098,Uruguay,Male,Adult,D,1,D1,5.7,116,121.7
27/05/2018,991001001626099,Veuze,Male,Yearling,C,1,C1,5.4,147,152.4
05/06/2018,991001001626100,Delmarva,Female,Yearling,C,1,C1,5.4,127,132.4
17/09/2018,991001001626100,Delmarva,Female,Yearling,C,1,C1,5.4,122,127.4
28/06/2019,991001001626100,Delmarva,Female,Adult,E,1,E1,5.5,132,137.5
25/06/2019,991001001626101,Xingu,Male,Yearling,D,1,D1,5.7,132,137.7
27/06/2019,991001001626103,Zambezi,Male,Yearling,D,1,D1,5.7,137.5,143.2
25/06/2019,991001001626104,Laconia,Female,Adult,D,1,D1,5.7,88,93.7
25/06/2019,991001001626106,Messenia,Female,Yearling,B,1,B1,4.9,113.5,118.4
27/06/2019,991001001626108,Pagasai,Female,Yearling,D,1,D1,5.7,140.5,146.2
26/06/2019,991001001626109,Yukon,Male,Yearling,D,1,D1,5.7,164,169.7
27/06/2019,991001001626110,Oshika,Female,Yearling,E,1,E1,5.5,129,134.5
25/06/2019,991001001626131,Nicoya,Female,Yearling,E,1,E1,5.5,109,114.5
17/06/2019,991001001626133,Wynocca,Female,Yearling,D,1,D1,5.7,123.5,129.2
15/08/2019,991001001626134,Van Diemen,Male,Yearling,B,1,B1,4.9,110,114.9
20/06/2019,991001001626135,Marfik,Male,Yearling,D,1,D1,5.7,117,122.7
20/06/2019,991001001626136,Yonghera,Female,Yearling,D,1,D1,5.7,136,141.7
20/06/2019,991001001626137,Zaniah,Female,Yearling,D,1,D1,5.7,147.5,153.2
17/06/2019,991001001626138,Jalorex,Male,Yearling,D,1,D1,5.7,120.5,126.2
19/06/2019,991001001626139,Xamidimura,Female,Yearling,D,1,D1,5.7,128,133.7
17/06/2019,991001001626140,Ixion,Male,Yearling,D,1,D1,5.7,133,138.7
19/09/2018,991001001626151,Kamchatka,Female,Yearling,C,1,C1,5.4,100.5,105.9
16/06/2019,991001001626154,Wezen,Male,Yearling,D,1,D1,5.7,110,115.7
17/06/2019,991001001626155,Lextra,Female,Yearling,E,1,E1,5.5,137.5,143.0
18/06/2019,991001001626157,Zaurak,Male,Yearling,D,1,D1,5.7,127,132.7
